"uri"	"title"	"description"	"language"	"technical_location"	"edu_interactivityType"	"edu_learningResourceType"	"edu_interactivityLevel"	"edu_typicalAgeRange"
"null"	"Película Wall-E"	"Película Wall-E. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/1287"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Remote Photovoltaic Lab"	"One of the most important concerns of the energy policy is solar energy systems education and promoting solar energy applications for sustainable development. The photovoltaic panel converts solar energy to electricity and represents the main element of a photovoltaic system. Studying the characteristic curve of a panel is essential in the study of photovoltaics since it provides important details about the electrical characteristics of the panel and it is used for simulation, design, and performance analysis of photovoltaic systems.Thus, the assessment of the effectiveness of a photovoltaic module requires knowledge of its characteristic curve., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1874"	"mixed"	"lecture, slide"	"very high"	"16 - 18"
"null"	"Animal Rights and Veganism"	"Animal Rights and Veganism, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/469"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"sugar"	"sugar how to, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1755"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Hola Mundo"	"Hola Mundo. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"DESIGN FOR  CHANGE"	"DESIGN FOR  CHANGE. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Programa de Mentoria y Tutela en la ETSIAE-UPM "	"Presenta el programa de Mentorias  y Tutela de la Escuela Técnica Superior de Ingeniería Aeronautica y del Espacio de la Universidad Politécnica de Madrid, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Halita"	"Características, identificación química y localización geográfica.Autor: Jacobo Muiño, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/374"	"mixed"	"lecture, slide, narrative text"	"very high"	"12 - 19"
"null"	"EL TELETRANSPORTE"	"La historia del teletransporte, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/745"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Explorations of solar activity and sunspots"	"In this excursion we will teach how to calculate Wolf number, and how to made explorations of solar activity. The main goal will be making diagram, showing Sun’s rotation and measuring sunspot’s diameter using the SalsaJ., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/522"	"mixed"	"lecture, slide, narrative text, questionnaire"	"very high"	"no value"
"null"	"Parte 4: Buenas prácticas - Presentaciones interactivas"	"En esta presentación se abordarán ejemplos de buenas prácticas para la realización de presentaciones interactivas mediante diversas herramientas., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/1482"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Similar triangles activity: Sergio, Ester, Pablo, Carlos"	"14 year old students measure the height using a similar triangles activity.You may see the whole AIMS project: http://new-twinspace.etwinning.net/web/p97560/welcome, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1171"	"mixed"	"lecture, slide"	"very high"	"14 - 15"
"null"	"Talco"	"Talco. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/925"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Areniscas"	"Areniscas. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/1999"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Untitled"	"Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"no value"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Fractal Lab"	"3D Fractal Lab WebGL A fractal is a mathematical set that typically displays self-similar patterns, which means it is ""the same from near as from far"". Fractals may be exactly the same at every scale, they may be nearly the same at different scales.The concept of fractal extends beyond self-similarity and includes the idea of a detailed pattern repeating itself., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1254"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Aragonite"	"Realizado por Andrea Román Guindal.Corregido por José Viñas., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"11 - 19"
"null"	"Agujeros Negros"	"Los agujeros negros., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/613"	"mixed"	"lecture, slide, narrative text, questionnaire"	"very high"	"no value"
"null"	"NOMENCLATURA INORGÁNICA"	"Breve resumen de las características de la nomenclatura inorgánica, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/2151"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Audience Response System Test"	"Audience Response System Test, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1031"	"mixed"	"lecture, slide, narrative text, questionnaire"	"very high"	"no value"
"null"	"GESTIÓN DE LAS SEQUÍAS"	"GESTIÓN DE LAS SEQUÍAS, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/1549"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Película Crepúsculo"	"Película Crepúsculo. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/1286"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Stibine"	"Physic and chemistry qualitiesIdentification form Geography localitation                                                                                          Author: Pablo Freire SanabriaChecker: Jose Viñas, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Abel"	"Abel. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"no value"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Discover the Z boson"	"Students will use the experimental data collected by the ATLAS experiment at CERN to “discover” invisible particles and calculate their mass. For this purpose they will identify different lepton types and use Einstein’s famous equation for the equivalence of mass and energy. They will also us vector addition to add the momenta of several particles which are the decay products of the invisible particles. The particle they will be looking for is the particle responsible for the weak force, the Z boson., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1799"	"mixed"	"lecture, slide"	"very high"	"14 - 0"
"null"	"Golab_Pd_António_Vieira_Rita"	"Com esta atividade pretende-se que o estudante investigue o que acontece com os raios luminosos ao incidirem numa superfície., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"pt"	"http://vishub.org/excursions/1824"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"2012 The electronic dice. Carmen - Laura L"	"2012 The electronic dice. Carmen - Laura L. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1314"	"mixed"	"lecture, slide"	"very high"	"14 - 15"
"null"	"MiniPrep. Purificación de ADN plasmídico (plasmid DNA purification)"	"Se muestra el protocolo para la purificación de pequeñas cantidades de ADN plasmídico (miniprep) a partir de un cultivo de células previamente transformadas. Protocol for purification of small amounts of plasmidic DNA (miniprep) from transformed cells are showed., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., Describir el protocolo de realización de una miniprep., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/259"	"mixed"	"lecture, slide, narrative text, questionnaire"	"very high"	"18 - 24"
"null"	"Δασικές πυρκαγιές. Ο πλανήτης Γη καλεί...S.O.S."	"Τον Αύγουστο του 2007 ο Νομός Ηλείας ήρθε αντιμέτωπος με την πιο καταστροφική πυρκαγιά της ιστορίας του. Οι φωτιές στη Μόσχα το καλοκαίρι του 2010 προξένησαν παρόμοιες καταστροφές. Έτσι δημιουργείται η ανάγκη για μια κοινή προσέγγιση στα πλαίσια της περιβαλλοντικής αγωγής, παγκοσμίως.Ο σκοπός αυτής της ηλ. εκδρομής είναι να κάνει τους ανθρώπους να σκεφτούν το περιβάλλον πιο σοβαρά., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., Μετά την εκδρομή αυτή, οι μαθητές θα:Έχουν γνωρίσει το ρόλο των ριζών στη στήριξη του εδάφους.Εκτιμήσουν τη χρησιμότητα των δασών για τη συγκράτηση των υδάτων.Επαναπροσδιορίσουν τη χρήση των διαφόρων πηγών θέρμανσης με όφελος το περιβάλλον.Κτίσουν ισχυρή περιβαλλοντική συνείδηση., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"10 - 18"
"null"	"Polaridad Molecular"	"Estudiando la polaridad molecular, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"moldeados"	"moldeados. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/1713"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Les papillons -  2"	"Les papillons -  2. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/370"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Periodic table"	"build with three.js and css3d, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/449"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Teorías lingüísticas actuales"	"Teorías lingüísticas actuales, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Cráteres"	"En este espacio los estudiantes usan un Simulador de impactos para investigar qué ocurre cuando un meteorito impacta contra la superficie terrestre. A través de esta investigación los estudiantes profundizan en ciertos conceptos físicos relacionados con la fuerza y el movimiento al mismo tiempo que manejan ecuaciones básicas y gráficos matemáticos., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial-ShareAlike'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/1793"	"mixed"	"lecture, slide"	"very high"	"14 - 16"
"null"	"ViSH Editor (FIE 2013)"	"ViSH Editor (FIE 2013), This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1063"	"mixed"	"lecture, slide"	"very high"	"16 - 30"
"null"	"Venus Flytrap Video Quiz"	"A little excursion about Venus Flytrap and Pitcher plants, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ., Me parece muy interesante este recurso. Nos permitirá realizar comentarios guiados de documentos audiovisuales. Esta destreza nos va a venir muy bien en un centro como el nuestro."	"en"	"http://vishub.org/excursions/784"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"ViSH - Presentación OpenExpo"	"ViSH: Plataforma de e-Learning de código abierto. Presentación para el evento OpenExpo 2015 celebrado en Madrid: http://www.openexpo.es, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., ViSH: Plataforma de e-Learning de código abierto. Presentación para el evento OpenExpo 2015 celebrado en Madrid: http://www.openexpo.es, License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/1732"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"CRIF"	"CRIF. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/1218"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"ViSH Editor Tema 11"	"ViSH Editor Tema 11, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Dominio Público'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/2176"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"POSTALES NAVIDEÑAS - COLEGIO BERGSON"	"Postales Navideñas del alumnado del Colegio Bergson de GARCHES (Francia)., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/2120"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Live Quiz Test"	"Live Quiz Test, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/571"	"mixed"	"lecture, slide, questionnaire"	"very high"	"no value"
"null"	"II Taller del Método indagativo en XploreHealth"	"Taller de Xplore Health para centros piloto. Aplicaremos el método indagativo a algunas de las actividades de Xplore Health., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Genetic Engineering protocol"	"Searching for a target for the treatment of atherosclerosis., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., To know more about DNA, License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"15 - 20"
"null"	"Go-Lab tutorial"	"Do you know how to use this Go-Lab Portal to explore the online labs and create your own inquiry learning spaces? We have created an inquiry space with instructional videos to show how the Go-Lab portal works! We recommend our users strongly to start with this tutorial to gain an insight of the portal. Try it right now!If you want to integrate other tutorials related to this topic, we recommend you that you sign up in Graasp. After that, you could copy this inquiry space to create your own inquiry space by clicking the button under the image. As an overview: This space introduces the scope and functionality of the Go-Lab platforms for inquiry learning. Golabz focuses on providing the necessary resources for teachers for inquiry activities fostering sharing and reuse of these resources. While Graasp enables teachers to create the inquiry activities and (re)use Golabz resources., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/1823"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Herramientas de gestión de información"	"Información acerca de software, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/1547"	"mixed"	"lecture, slide, narrative text"	"very high"	"14 - 20"
"null"	"Morfología"	"Repaso y profundización en conceptos de morfología, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Reconocimiento-NoComercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"http://vishub.org/excursions/2157"	"mixed"	"lecture, slide, narrative text, questionnaire"	"very high"	"no value"
"null"	"Brojevni sustavi"	"Učenici istražuju brojevne sustave i uspoređuje osnovne razlike položajnih i nepoložajnih brojevnih sustava. Istražuje osnovne principe na kojem su definirani položajni brojevni sustavi. Na temelju toga rade u binarnom brojevnom sustavu s mogućnosšću snalaženja u bilo kojem brojevnom sustavu., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/1784"	"mixed"	"lecture, slide"	"very high"	"10 - 14"
"null"	"La eutrofización"	"Esta excursión trata de explicar el concepto de eutrofización y la relación que existe entre este hecho y la contaminación de ríos y lagos debido a la introdución de bionutrientes que producen un incremento en la productividad biológica que acaba por alterar todo un ecosistema., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., El concepto de eutroficación es un concepto complejo, que requiere entender todos los pasos que llevan a que se desencadene en un determinado ecosistema. En dicho proceso juega un papel importante el ser humano y las actividades que realiza, sobre todo con la introducción de bionutrientes en ecosistemas cerrrados. La idea de esta excursión es comenzar relatando un caso real y a partir de el ver que y como ha ocurrido y buscar la manera de evitar este efecto en el futuro., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"13 - 20"
"null"	"INFORMATICA COSACO"	"HTML, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/1423"	"mixed"	"lecture, slide"	"very high"	"no value"
"null"	"Lesson 08 3 Page 92"	"Stresses, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/407"	"mixed"	"lecture, slide"	"very high"	"12 - 13"
"null"	"Lekaroz 2013 Up the stalk 3"	"Lekaroz 2013 Up the stalk 3. A Virtual Excursion provided by http://vishub.org., This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"no value"	"mixed"	"lecture, slide"	"very high"	"12 - 14"
"null"	"hhhhhh"	"ddddddd, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"no value"	"http://vishub.org/excursions/929"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Microscope. parts and functions"	"A flashcard related with the microscope, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"en"	"http://vishub.org/excursions/323"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Prueba Cristina de la Haza"	"Esto es una prueba , This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'None (All rights reserved)'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ."	"es"	"no value"	"mixed"	"lecture, slide, narrative text"	"very high"	"no value"
"null"	"Módulo 2 de HTML5MOOC"	"Herramienta para probar el código javascript y los ejemplos de la módulo 2 del curso @HTML5MOOC de FirefoxOS, This date represents the date the author finished the indicated version of the Learning Object., This date represents the date the author finished authoring the metadata of the indicated version of the Learning Object., License: 'Creative Commons Attribution-NonCommercial'. For additional information or questions regarding copyright, distribution and reproduction, visit http://vishub.org/terms_of_use ., hola tengo problemas para subir el  ejercicio p2p opcional del tema 2 css, siempre que le doy entregar tarea me dice que el fichero a subir tiene un error pero lo he revisado muchas veces y no le veo nada extraño ayudenme este es el codigo:<!doctype html><html><head><meta charset=""utf-8""><title>Herencia</title><style type=""text/css"">h1 { color: purple; }h1 { color: grey; }#caja .cabecera h1 {	color: red;}#caja header h1 {	color: blue;}header  h1 {	color: lime;}</style></head><body><div id=""caja"">  <header class=""cabecera"">    <h1>Cabecera: header</h1>  </header>  <p>La puntuacion es 0,1,1,1 es decir 111</p>  <!-- La puntuacion es 0,1,1,1 es decir 111--></div></body></html> "	"es"	"http://vishub.org/excursions/1158"	"mixed"	"lecture, slide"	"very high"	"no value"
